prefix,cluster_id,env_proto,best_action,best_q_value
"('Registration', 'Payment', 'Get Triage Number')",8,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.0, 0.0, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",Measure Vital Signs,2.721215091043143
"('Registration', 'Payment', 'Get Triage Number')",9,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,2.4647435660094184
"('Registration', 'Payment', 'Get Triage Number')",10,"[0.111, 0.044, 0.022, 0.111, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",Measure Vital Signs,2.709727836779198
"('Registration', 'Payment', 'Get Triage Number')",11,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.333, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,2.7690363317945295
"('Registration', 'Payment', 'Get Triage Number')",12,"[0.111, 0.0, 0.022, 0.222, 0.444, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",Measure Vital Signs,2.395518772424059
"('Registration', 'Payment', 'Get Triage Number')",13,"[0.0, 0.0, 0.0, 0.111, 0.389, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.222, 0.055]",Measure Vital Signs,1.9840979043273708
"('Registration', 'Payment', 'Get Triage Number')",14,"[1.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,0.9683169921315418
"('Registration', 'Payment', 'Get Triage Number')",15,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.11, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.149, 0.444, 0.0, 0.0, 0.667, 0.0, 0.0]",Measure Vital Signs,2.352141940447829
"('Registration', 'Payment', 'Get Triage Number')",16,"[0.25, 0.1, 0.05, 0.25, 1.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,0.8848882877127411
"('Registration', 'Payment', 'Get Triage Number')",17,"[0.25, 0.1, 0.0, 0.25, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,1.7943359900283533
"('Registration', 'Payment', 'Get Triage Number')",18,"[0.0, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.0, 0.0, 0.222, 0.0]",Measure Vital Signs,0.8139830168237646
"('Registration', 'Payment', 'Get Triage Number')",19,"[0.111, 0.044, 0.022, 0.111, 0.444, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",Measure Vital Signs,2.312855609047337
"('Registration', 'Payment', 'Get Triage Number')",20,"[0.167, 0.0, 0.0, 0.167, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 1.0, 0.0, 0.667]",Measure Vital Signs,0.8900321172644527
"('Registration', 'Payment', 'Get Triage Number')",21,"[0.0, 0.0, 0.0, 0.111, 0.334, 0.083, 0.333, 0.0, 0.166, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.0, 0.111]",Measure Vital Signs,1.7908120065089939
"('Registration', 'Payment', 'Get Triage Number')",22,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.444, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.667, 0.667, 0.0, 0.0]",Measure Vital Signs,2.864691326322971
"('Registration', 'Payment', 'Get Triage Number')",23,"[0.333, 0.133, 0.0, 0.168, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,1.8245422928263642
"('Registration', 'Payment', 'Get Triage Number')",24,"[0.111, 0.044, 0.011, 0.111, 0.444, 0.0, 0.0, 0.0, 0.0, 0.083, 0.0, 0.0, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.0, 0.055, 0.0]",Measure Vital Signs,0.9068107665007238
"('Registration', 'Payment', 'Get Triage Number')",25,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.667, 0.0, 0.0]",Measure Vital Signs,1.5350208421582896
"('Registration', 'Payment', 'Get Triage Number')",26,"[0.0, 0.066, 0.022, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.22, 0.444, 0.0, 1.0, 0.112, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,0.8087540778236507
"('Registration', 'Payment', 'Get Triage Number')",27,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,2.432410363851248
"('Registration', 'Payment', 'Get Triage Number')",28,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.0, 0.0, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.0, 0.667, 0.0, 0.0]",Measure Vital Signs,2.565529238997061
"('Registration', 'Payment', 'Get Triage Number')",29,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Measure Vital Signs,0.8757725911978348
"('Registration', 'Payment', 'Get Triage Number')",30,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.667, 0.667, 0.0, 0.0]",Measure Vital Signs,0.7069472142341179
"('Registration',)",0,"[0.0, 0.044, 0.015, 0.111, 0.444, 0.223, 0.333, 0.333, 0.055, 0.0, 0.0, 0.444, 0.667, 1.0, 0.222, 0.444, 0.444, 0.0, 0.0, 0.074, 0.0]",Payment,3.0703639709811554
"('Registration',)",1,"[0.111, 0.044, 0.022, 0.111, 0.444, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.0, 0.444, 0.0, 0.667, 0.0, 0.0]",Payment,1.7370598674579736
"('Registration',)",2,"[0.352, 0.074, 0.008, 0.296, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Payment,3.3120016441801017
"('Registration',)",3,"[0.0, 0.051, 0.016, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.255, 0.444, 0.0, 1.0, 0.127, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",Payment,2.220425454791526
"('Registration',)",4,"[0.167, 0.067, 0.033, 0.167, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 1.0, 0.0, 0.667]",Payment,2.458082036530483
"('Registration',)",5,"[0.167, 0.067, 0.005, 0.215, 0.333, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.096, 0.0, 0.0, 0.0, 1.0, 0.0, 0.333]",Payment,2.510966612635765
"('Registration',)",6,"[0.111, 0.03, 0.011, 0.111, 0.444, 0.0, 0.0, 0.0, 0.0, 0.112, 0.0, 0.0, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.0, 0.075, 0.0]",Payment,2.5333508598874057
"('Registration',)",7,"[0.111, 0.044, 0.007, 0.111, 0.444, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.0, 0.0]",Payment,3.6204859552788546
"('Registration',)",8,"[0.111, 0.044, 0.004, 0.111, 0.518, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.667, 0.0, 0.0]",Payment,2.969420941501022
"('Registration',)",9,"[0.111, 0.015, 0.0, 0.111, 0.444, 0.0, 0.0, 0.223, 0.0, 0.11, 0.0, 0.0, 0.0, 1.0, 0.149, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",Payment,2.395371592009449
"('Registration',)",10,"[0.167, 0.067, 0.0, 0.167, 0.333, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 1.0, 0.0, 0.333]",Payment,1.7534645434145464
"('Registration',)",11,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Payment,3.387701152739969
"('Registration',)",12,"[0.0, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.444, 0.0, 1.0, 0.0, 0.0, 0.444, 0.0, 0.0, 0.0, 0.0]",Payment,2.125271845242374
"('Registration',)",13,"[0.111, 0.033, 0.003, 0.111, 0.444, 0.084, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.111, 0.389, 0.0, 0.0, 0.667, 0.0, 0.0]",Payment,3.65120886120725
"('Registration',)",14,"[0.069, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.334, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.0, 0.0]",Payment,4.022174979824198
"('Registration',)",15,"[0.167, 0.067, 0.009, 0.167, 0.667, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",Payment,2.510405019061187
"('Registration',)",16,"[0.111, 0.044, 0.007, 0.111, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",Payment,3.8035462932992914
"('Registration',)",17,"[0.111, 0.044, 0.006, 0.111, 0.444, 0.0, 0.166, 0.0, 0.0, 0.333, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",Payment,3.6056179653905023
"('Registration',)",18,"[0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Payment,0.952209958015851
"('Registration',)",19,"[0.25, 0.1, 0.012, 0.25, 1.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Payment,2.4425939473481537
"('Registration',)",20,"[0.333, 0.133, 0.0, 0.333, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Payment,1.7955118630149107
"('Registration',)",21,"[0.0, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.0, 0.0, 0.222, 0.0]",Payment,2.2964620432302345
"('Registration',)",22,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Payment,2.529188828345145
"('Registration',)",23,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.444, 0.0, 0.667, 0.0, 0.0, 0.0]",Payment,1.701428621709797
"('Registration',)",24,"[0.167, 0.0, 0.0, 0.167, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.667, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.667]",Payment,0.9190484171894284
"('Registration',)",25,"[0.333, 0.133, 0.067, 0.333, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Payment,0.9467983499312672
"('Registration',)",26,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0]",Payment,1.7061154640608993
"('Registration',)",27,"[0.111, 0.0, 0.0, 0.111, 0.444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0]",Payment,0.937997869090241
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",0,"[0.0, 0.0, 0.0, 0.0, 0.222, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.297, 0.667, 1.0, 0.149, 0.444, 0.444, 0.667, 0.667, 0.0, 0.222]",General Medicine Examination,1.8922903475674162
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",1,"[0.0, 0.0, 0.0, 0.083, 0.333, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.222, 0.112]",General Medicine Examination,1.4634176699066475
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",2,"[0.069, 0.044, 0.006, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.221, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.0, 0.0]",General Medicine Examination,2.3632533057639895
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",3,"[0.0, 0.0, 0.0, 0.0, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.444, 0.444, 0.0, 0.667, 0.0, 0.0]",General Medicine Examination,1.4363118461219035
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",4,"[0.0, 0.0, 0.0, 0.0, 0.444, 0.333, 0.333, 0.333, 0.0, 0.333, 0.444, 0.0, 0.667, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.222, 0.0]",General Medicine Examination,2.6628035835099255
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",5,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",General Medicine Examination,1.7433989755415717
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",6,"[0.0, 0.0, 0.0, 0.0, 0.332, 0.165, 0.333, 0.333, 0.333, 0.0, 0.444, 0.0, 0.667, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.0, 0.112]",General Medicine Examination,2.1063083443425645
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",7,"[0.0, 0.0, 0.0, 0.037, 0.444, 0.11, 0.333, 0.333, 0.0, 0.223, 0.444, 0.0, 0.667, 1.0, 0.0, 0.444, 0.0, 0.667, 0.667, 0.0, 0.0]",General Medicine Examination,1.0635635977859057
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",8,"[0.0, 0.0, 0.0, 0.111, 0.369, 0.333, 0.333, 0.11, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.074, 0.444, 0.444, 0.667, 0.667, 0.0, 0.075]",General Medicine Examination,2.7414544582361113
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",9,"[0.0, 0.0, 0.0, 0.02, 0.364, 0.333, 0.333, 0.243, 0.0, 0.0, 0.444, 0.443, 0.667, 1.0, 0.102, 0.404, 0.444, 0.667, 0.667, 0.041, 0.08]",General Medicine Examination,2.5530137390177265
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.0, 0.333, 0.333, 0.444, 0.0, 0.667, 1.0, 0.222, 0.444, 0.444, 0.667, 0.667, 0.0, 0.444]",General Medicine Examination,1.4194684709544947
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",11,"[0.25, 0.1, 0.0, 0.25, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",General Medicine Examination,0.9552127227780149
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",12,"[0.0, 0.0, 0.0, 0.089, 0.4, 0.333, 0.333, 0.134, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.044, 0.179, 0.444, 0.667, 0.667, 0.0, 0.044]",General Medicine Examination,2.034533986011608
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",13,"[0.0, 0.0, 0.0, 0.0, 0.389, 0.333, 0.0, 0.333, 0.0, 0.0, 0.444, 0.444, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.055]",General Medicine Examination,2.0937731670073223
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",14,"[0.0, 0.0, 0.0, 0.111, 0.222, 0.0, 0.333, 0.0, 0.168, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.0, 0.222]",General Medicine Examination,0.7647233798488147
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",15,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",General Medicine Examination,1.739714143713552
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",16,"[0.0, 0.0, 0.0, 0.0, 0.222, 0.0, 0.333, 0.0, 0.0, 0.333, 0.444, 0.0, 0.667, 1.0, 0.222, 0.444, 0.0, 0.667, 0.667, 0.0, 0.222]",General Medicine Examination,0.5038022743833734
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",17,"[0.0, 0.0, 0.0, 0.0, 0.444, 0.0, 0.0, 0.333, 0.0, 0.11, 0.444, 0.444, 0.667, 1.0, 0.222, 0.444, 0.0, 0.667, 0.0, 0.0, 0.0]",General Medicine Examination,2.604944609983749
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",18,"[0.111, 0.044, 0.0, 0.111, 0.667, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.667, 0.0, 0.0]",General Medicine Examination,0.801502180006627
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",19,"[0.0, 0.0, 0.022, 0.111, 0.444, 0.0, 0.333, 0.333, 0.333, 0.0, 0.444, 0.444, 0.667, 1.0, 0.222, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",General Medicine Examination,0.7601030434711062
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",20,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.142, 0.333, 0.0, 0.142, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",General Medicine Examination,2.259486408318308
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",21,"[0.0, 0.0, 0.0, 0.0, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.444, 0.444, 0.667, 1.0, 0.222, 0.444, 0.444, 0.0, 0.667, 0.222, 0.0]",General Medicine Examination,0.6397539425935349
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",22,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.0, 0.0, 0.11, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.147, 0.0, 0.667, 0.0, 0.0]",General Medicine Examination,2.1874018565835525
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",23,"[0.0, 0.0, 0.0, 0.0, 0.222, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.667, 0.0, 0.0, 0.222]",General Medicine Examination,1.3845339161033434
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",24,"[0.111, 0.044, 0.0, 0.111, 0.222, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.444, 0.0, 1.0, 0.222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.222]",General Medicine Examination,0.9023407694248576
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",25,"[0.0, 0.0, 0.0, 0.0, 0.222, 0.333, 0.333, 0.333, 0.0, 0.0, 0.444, 0.0, 0.667, 1.0, 0.0, 0.444, 0.444, 0.0, 0.667, 0.0, 0.222]",General Medicine Examination,2.1575830818443804
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",26,"[0.0, 0.044, 0.022, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.222, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",General Medicine Examination,2.2344890556366077
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",27,"[0.111, 0.044, 0.011, 0.111, 0.444, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.112, 0.444, 0.0, 0.0, 0.667, 0.0, 0.0]",General Medicine Examination,1.6731090700559699
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",28,"[0.333, 0.133, 0.0, 0.333, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",General Medicine Examination,0.9607372113712165
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",29,"[0.0, 0.0, 0.0, 0.0, 0.444, 0.141, 0.333, 0.285, 0.0, 0.192, 0.444, 0.0, 0.667, 1.0, 0.095, 0.381, 0.444, 0.667, 0.667, 0.0, 0.0]",General Medicine Examination,1.70150635573246
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",30,"[0.0, 0.0, 0.0, 0.0, 0.444, 0.333, 0.333, 0.333, 0.333, 0.333, 0.444, 0.444, 0.667, 1.0, 0.112, 0.0, 0.444, 0.667, 0.667, 0.222, 0.0]",General Medicine Examination,1.3507212836132165
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",31,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.333, 0.0, 0.444, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.0, 0.444]",General Medicine Examination,1.4118128172938509
